Index,Time,Acceleration X,Acceleration Y,Acceleration Z,Orientation X,Orientation Z,Punch,Raw Acceleration X,Raw Acceleration Y,Raw Acceleration Z
658,38.786,0.023864494754338272,-0.025234969265854668,-0.006622570557741625,-0.2538404358036991,-0.6749422679409742,,0.6988067626953125,-0.7389373779296875,-0.1939239501953125
659,38.836,0.2321612404637038,0.5826425146033266,0.4203501229925366,-0.1434641378912295,-0.6648571921534837,,0.8970184326171875,-0.1566009521484375,0.3131866455078125
660,38.886,0.02144287460766381,0.7026909544962477,0.5784150482255079,-0.2122140991816369,-0.6395068324235862,,0.66094970703125,-0.048583984375,0.4152679443359375
661,38.936,-0.0671025902213589,0.099943821660466,0.010735910992932099,-0.106805015499386,-0.5552159935416714,,0.4881134033203125,-0.7270050048828125,-0.078094482421875
662,39.045,0.23653966829570872,-1.586604191765089,-0.5486513485426117,-0.0871048814268578,-0.6669179733058537,,0.9034576416015624,-2.3289031982421875,-0.613555908203125
663,39.095,1.3529321134639034,0.2871285692979685,0.4817594522060995,0.2787496336264615,-0.7610968172001591,,2.1140289306640625,-0.3358001708984375,0.662567138671875
664,39.285,-4.0263727244391925,-1.8333911101667246,-1.263335786452008,0.3486167088741403,-0.7857111033454423,,-3.24066162109375,-2.413177490234375,-1.0476837158203125
665,39.335,-1.457346017199464,2.568002851185608,-0.24744282375963972,0.2331216850082501,-0.8864689420041516,,-0.5708770751953125,2.1179656982421875,-0.139556884765625
666,39.414,-3.0053221521966886,0.6525066240776498,1.5080641582550531,0.2584790248328069,-0.912899666845126,Straight,-2.0924224853515625,0.2581939697265625,1.6135711669921875
667,39.464,-1.5447310033143524,0.6261692262472469,1.0844479171263404,0.0347253427446886,-0.967597824603415,,-0.5771331787109375,0.3738250732421875,1.0932159423828125
668,39.514,0.0220810848816137,0.30616622275755956,-0.23214255990756671,0.6041857984164769,0.0573746639831762,,-0.0352935791015625,-0.4893646240234375,0.3710479736328125
