Index,Time,Acceleration X,Acceleration Y,Acceleration Z,Orientation X,Orientation Z,Punch Type,Raw Acceleration X,Raw Acceleration Y,Raw Acceleration Z
52,2.796,0.029375083843469207,-0.045372950523335454,0.016292220903690757,0.3379473493671461,-0.5203380509221558,,0.549713134765625,-0.849090576171875,0.3048858642578125
53,2.846,0.028453515270989382,-0.04525300755160888,0.002248818054262261,0.0496330862844864,-0.5318187015258856,,0.560272216796875,-0.8910675048828125,0.044281005859375
54,2.895,0.1686747822725212,-0.08317981111289607,0.1547750915783671,0.0724636768069301,-0.5153919901884163,,0.6840667724609375,-0.9378814697265624,0.2168731689453125
55,2.945,0.258301115999379,-0.14580983120878155,0.10090004361862112,0.1022543483793489,-0.500030182828746,,0.758331298828125,-1.0072784423828125,0.189453125
56,2.995,0.20331709945190385,-0.14574206344510143,0.016315675772563654,0.1446403112808152,-0.4832673732043461,,0.68658447265625,-1.0120086669921875,0.1429443359375
57,3.045,0.4947231003025448,-0.22274062154740182,-0.16843373738270462,0.2350220643435917,-0.4418308547755802,,0.936553955078125,-1.0947113037109375,0.0424041748046875
58,3.095,1.2051350670216507,-0.37647525375135693,0.024607297681911056,0.4189461027736447,-0.3713877601267868,,1.5765228271484375,-1.21954345703125,0.4135894775390625
59,3.339,1.3666885118698047,3.3665397644365376,-0.5101897419035089,0.2306056952085438,-0.4387314100051952,,1.805419921875,2.4921417236328125,-0.3029632568359375
60,3.389,-1.3500453435618522,0.6813143924662862,0.44312557839094696,0.3763552622000098,-0.4012385808665398,Straight,-0.9488067626953124,-0.1673126220703125,0.7878570556640625
61,3.439,-0.9846734184239494,1.1459362011654222,0.3388388815668958,0.513293647219932,-0.3630608695958244,,-0.621612548828125,0.346282958984375,0.817108154296875
62,3.489,-1.1561103396420565,0.7951821228639872,0.30568358967280707,0.5889508747161588,-0.3748145632748689,,-0.7812957763671875,0.045928955078125,0.8516998291015625
63,3.538,-1.2483857590120895,0.7184040870372169,0.4596871063068534,0.6597619558592341,-0.3865083176058395,,-0.86187744140625,0.02532958984375,1.06817626953125
64,3.588,-1.8930122784563714,0.31001269135149656,0.07015461764903419,0.6440083725352013,-0.496573679823559,,-1.3964385986328125,-0.3540191650390625,0.629150390625
65,3.638,-1.7832943350592267,0.7217958765258946,0.34454607804073006,0.5703364496144734,-0.6219478995123519,,-1.161346435546875,0.078582763671875,0.7911529541015625
66,3.688,-1.7217768574260908,0.2468684171382164,0.40757666901117734,0.4476651347865529,-0.7684992695354657,,-0.953277587890625,-0.325286865234375,0.6940155029296875
67,3.738,-1.2068960761478424,0.17203978399120606,0.5132341824145304,0.302611576598817,-0.8759024238040924,,-0.33099365234375,-0.2878265380859375,0.65924072265625
68,3.788,-0.9782528735025292,-0.1255861009706148,0.839127709320293,0.1515242451733605,-0.9499935961587792,,-0.02825927734375,-0.4342498779296875,0.886444091796875
69,3.837,0.020849317449623483,-0.03429434581222812,0.04718220564875053,0.8088990367136044,-0.336587816339439,,0.3574371337890625,-0.5879364013671875,0.8088836669921875
70,3.887,0.1089348904190921,-0.06509956592133137,0.5886928755926498,0.6898180651456944,-0.4529089816512204,,0.5618438720703125,-0.7105712890625,1.203704833984375
71,3.937,-0.10224959875746542,0.087746985682843,-0.03555981430716193,0.3755845678620432,-0.7337498428980904,,0.631500244140625,-0.54193115234375,0.2196197509765625
72,3.987,-0.09318226654925965,0.12227754984212025,-0.06364536114005176,0.4617012263513486,-0.5600249179164472,,0.4668426513671875,-0.61260986328125,0.3188629150390625
73,4.037,-0.04912268711639578,0.12155882150622499,-0.017510089900669046,0.1425746604643252,-0.3713730533273333,,0.3222503662109375,-0.7974395751953125,0.1148681640625
74,4.087,-0.012692196909814601,0.03839037522166677,0.0003716545830017969,-0.0096804776266556,-0.3138854342145021,,0.3011932373046875,-0.9110260009765624,-0.008819580078125
75,4.136,0.01705806242666269,-0.04525834120157379,-0.010018945343435948,-0.2161396518330815,-0.3453534365967748,,0.3624114990234375,-0.9615478515625,-0.212860107421875
76,4.186,0.02504635861529131,-0.06790672806657005,-0.019867916642218153,-0.2808047165289671,-0.3337030310331462,,0.3587493896484375,-0.97265625,-0.284576416015625
77,4.236,0.03975107336673128,-0.08684010626460792,-0.01118898280205119,-0.1277894328322698,-0.4133891854223312,,0.4531402587890625,-0.98992919921875,-0.1275482177734375
78,4.286,0.1723310794335124,-0.05647845804970075,0.11448215820293159,-0.1398692035540077,-0.4188401852149251,,0.5911712646484375,-0.9556121826171876,-0.0125274658203125
79,4.336,0.1754035526445739,-0.033985724155008334,0.026694512345681876,-0.1515345798358419,-0.4249992793866761,,0.60040283203125,-0.9287261962890624,-0.1104736328125
80,4.386,0.0484098576898605,-0.06747341957969932,-0.012737817935201817,-0.185506073446325,-0.576208672583577,,0.6246185302734375,-0.8705902099609375,-0.1643524169921875
81,4.435,0.027919633347338157,-0.044949265244590975,-0.006712951085450863,-0.1477069281926393,-0.5234414506370368,,0.551361083984375,-0.887664794921875,-0.132568359375
82,4.485,0.3015818160278756,-0.1012153020062928,-0.00916499122814328,-0.0701403865165432,-0.4967885453002494,,0.798370361328125,-0.966949462890625,-0.070037841796875
83,4.535,0.3603679646569174,-0.22077732041353482,-0.04169900618558764,0.0292124646821957,-0.4739521037024576,,0.834320068359375,-1.1009521484375,-0.0159759521484375
84,4.585,0.4930833386266007,0.03982993603651919,-0.20771017985924758,0.2088375556647781,-0.4007154894983993,,0.893798828125,-0.856170654296875,-0.0163726806640625
85,4.635,0.6145887986103427,-0.07329131456453819,-0.055473480441071144,0.4489166711917363,-0.3429002150615323,,0.957489013671875,-0.912689208984375,0.3662261962890625
86,4.849,-3.639134291847666,-1.0035783347998017,0.8857480494868621,0.5122345722792178,-0.5095108787617284,,-3.1296234130859375,-1.742584228515625,1.326507568359375
87,4.899,0.9742091121465508,2.950109430148075,0.13001798126778225,0.3564930991324401,-0.5244633732050117,Straight,1.4986724853515625,2.1546173095703125,0.4335479736328125
88,4.949,-1.5381400416347584,0.033363712834516335,0.9420658792405003,0.460811635165632,-0.4448020289394458,,-1.0933380126953125,-0.761505126953125,1.3547821044921875
89,4.999,-1.5307097167247936,0.8722234306154304,0.5726184342144522,0.4548795104402076,-0.4719023436779187,,-1.058807373046875,0.087066650390625,0.973663330078125
90,5.049,-1.211074049237708,0.7855463983209419,0.32246018011912675,0.4210243343785347,-0.5140067884955204,,-0.6970672607421875,0.0074920654296875,0.6836090087890625
91,5.098,-1.5864994650691162,0.48520350332317363,0.48217589186926113,0.4207494418229836,-0.5868809347956786,,-0.9996185302734376,-0.2493133544921875,0.822845458984375
92,5.148,-1.7121421872567073,0.4476536631948148,0.48980474298436316,0.2678757679673674,-0.6922447263192073,,-1.0198974609375,-0.2476348876953125,0.6831207275390625
93,5.198,-1.4795897344027416,0.3388169262086933,0.39802650750385965,0.0862094879760024,-0.8102934697543042,,-0.6692962646484375,-0.245025634765625,0.44854736328125
94,5.248,0.19608442478235033,0.15576185742793214,-0.1671736567313673,0.7316376357281504,0.6512388437276628,,-0.4551544189453125,-0.3615570068359375,0.3880462646484375
95,5.298,0.04421510294496428,0.10101519221855093,-0.06455896805629491,0.5385165340768808,0.3460339506012143,,-0.30181884765625,-0.689544677734375,0.4406890869140625
96,5.348,0.03719694605892909,0.12601399381689105,-0.043264567750595895,0.3247257153643846,0.2689016579729916,,-0.2317047119140625,-0.7849578857421875,0.269500732421875
97,5.397,0.005510474791770692,0.03520130085674111,0.00037153702555493655,-0.0105540512297635,0.1546498790886457,,-0.149139404296875,-0.9527130126953124,-0.0100555419921875
98,5.447,-0.0002495202882055996,-0.03341621703389819,0.005586954268779809,0.1649039679816654,0.0073646154539819,,-0.0076141357421875,-1.0196990966796875,0.1704864501953125
99,5.497,-0.01563961472911951,0.04971590760017619,0.011733370997425802,-0.2296979814443424,-0.292754482893182,,0.2771148681640625,-0.8809051513671875,-0.2079010009765625
100,5.547,0.0004750854764793977,-0.1395105816717176,-0.08489275255467305,-0.3033696097884304,-0.3950479858125831,,0.3955230712890625,-1.0148773193359375,-0.36358642578125
101,5.597,0.04109076845821269,-0.05045106776185537,-0.025196671714015906,-0.4468041061623982,-0.5888988555652248,,0.6299896240234375,-0.77349853515625,-0.3863067626953125
102,5.647,-0.028629153211050862,-0.24931458693616948,0.26208620753722733,-0.4426357430989098,-0.6249884061407384,,0.5963592529296875,-0.949310302734375,-0.0834503173828125
103,5.696,0.22062195831082598,-0.2568720483407544,0.2640040128751485,-0.4357090412545863,-0.649830922548549,,0.870452880859375,-0.941009521484375,-0.067169189453125
104,5.746,0.1308031852112127,-0.2113544985260727,0.06366003609575382,-0.4045638948993366,-0.6617840950622248,,0.7925872802734375,-0.8969573974609375,-0.2396392822265625
105,5.796,0.011305161160095945,-0.2775561695579607,0.18231551701783677,-0.3472359641928307,-0.6593949120820916,,0.6707000732421875,-0.982574462890625,-0.0787353515625
106,5.846,0.0446386923203127,-0.06423097990745152,-0.0029197913884950535,-0.0454107866706818,-0.5702905068984373,,0.61492919921875,-0.88482666015625,-0.04022216796875
107,5.896,-0.02852215682556536,0.03404901281509898,0.0023667246057224173,-0.0693420329257429,-0.6412388316302529,,0.6127166748046875,-0.7314453125,-0.05084228515625
108,5.946,0.019703035050381956,-0.01943771869758648,-0.0019911085917094645,-0.1019020687462488,-0.7100485518636805,,0.7297515869140625,-0.7199249267578125,-0.0737457275390625
109,5.995,0.028131129582214753,-0.15073629272359845,0.01521987522857271,-0.062773947831014,-0.6890472151443477,,0.7171783447265625,-0.8740234375,-0.0302734375
110,6.045,0.25777451158160636,-0.20881871179875378,-0.08759131397433478,-0.0037694421040803,-0.6598738038480813,,0.9176483154296876,-0.9601898193359376,-0.090423583984375
111,6.095,0.2372302565530291,-0.39203222790804915,-0.20007142215296134,0.0681211847250164,-0.6142559495016584,,0.8514862060546875,-1.1793060302734375,-0.1463165283203125
112,6.145,0.8978762593816998,-0.2861237086779783,0.12925391157783714,0.1754406433548629,-0.5324673685479877,,1.4303436279296875,-1.11944580078125,0.2777557373046875
113,6.404,1.3106957671479007,3.021656817444759,-0.14324185949761017,-0.211716752156727,-0.7182196381255367,,2.0289154052734375,2.34161376953125,-0.290557861328125
114,6.454,-1.5848298182545606,0.330891285243445,1.0608437711313892,-0.1363680189678378,-0.6444764246998729,Straight,-0.9403533935546876,-0.4265899658203125,0.956573486328125
115,6.504,-1.6278011360000395,0.7026873048399527,0.7582138765029217,-0.0960340544322461,-0.6331874885391019,,-0.9946136474609376,-0.0677337646484375,0.6838836669921875
116,6.554,-1.6045450743648808,0.47642303515164364,0.9021936297526084,-0.1215009070386701,-0.6548075255367559,,-0.949737548828125,-0.273773193359375,0.81036376953125
